Institution;Period;CHF;DOI;Is hybrid
University of Bern;2025-12-19;CHF 2’484.46;10.1038/S41598-025-31629-3;false
University of Bern;2026-01-14;CHF 1’418.27;10.1097/EA9.0000000000000096;false
University of Bern;2025-12-31;CHF 2’393.33;10.1071/WF25107;false
University of Bern;2026-01-09;CHF 2’484.46;10.1038/S41598-025-34218-6;false
University of Bern;2025-01-23;CHF 2’246.32;10.3389/fvets.2025.1517173;false
University of Bern;2025-02-06;CHF 2’246.32;10.3389/fpsyt.2025.1553508;false
University of Bern;2025-02-10;CHF 2’246.32;10.3389/fvets.2025.1528345;false
University of Bern;2025-02-17;CHF 2’246.32;10.3389/froh.2025.1472711;false
University of Bern;2025-04-17;CHF 2’246.32;10.3389/fbioe.2025.1569553;false
University of Bern;2025-05-05;CHF 2’246.32;10.3389/fvets.2025.1553310;false
University of Bern;2025-04-11;CHF 2’246.32;10.3389/fpubh.2025.1574732;false
University of Bern;2025-05-22;CHF 2’246.32;10.3389/fpsyg.2025.1545719;false
University of Bern;2025-06-04;CHF 2’246.32;10.3389/fvets.2025.1623761;false
University of Bern;2025-06-05;CHF 2’246.32;10.3389/fimmu.2025.1608338;false
University of Bern;2025-06-12;CHF 2’246.32;10.3389/fvets.2025.1585940;false
University of Bern;2025-06-17;CHF 2’246.32;10.3389/fpsyg.2025.1587405;false
University of Bern;2025-06-30;CHF 2’246.32;10.3389/fspor.2025.1636161;false
University of Bern;2025-07-09;CHF 2’246.32;10.3389/fsoc.2025.1585464;false
University of Bern;2025-07-21;CHF 2’246.32;10.3389/fevo.2025.1646136;false
University of Bern;2025-07-21;CHF 2’246.32;10.3389/fvets.2025.1567807;false
University of Bern;2025-07-30;CHF 2’246.32;10.3389/fdgth.2025.1640900;false
University of Bern;2025-08-22;CHF 2’246.32;10.3389/fbioe.2025.1629362;false
University of Bern;2025-08-18;CHF 2’246.32;10.3389/fvets.2025.1571539;false
University of Bern;2025-08-27;CHF 2’246.32;10.3389/fneur.2025.1530775;false
University of Bern;2025-09-03;CHF 2’246.32;10.3389/fnut.2025.1655811;false
University of Bern;2025-09-25;CHF 2’246.32;10.3389/fspor.2025.1653834;false
University of Bern;2025-09-24;CHF 2’246.32;10.3389/fvets.2025.1629994;false
University of Bern;2025-10-02;CHF 2’246.32;10.3389/fonc.2025.1680992;false
University of Bern;2025-11-05;CHF 2’246.32;10.3389/fclim.2025.1666586;false
University of Bern;2025-11-11;CHF 2’246.32;10.3389/froh.2025.1716625;false
University of Bern;2025-11-12;CHF 2’246.32;10.3389/fped.2025.1644547;false
University of Bern;2025-11-20;CHF 2’246.32;10.3389/fmed.2025.1677721;false
University of Bern;2025-11-25;CHF 2’246.32;10.3389/fspor.2025.1708869;false
University of Bern;2025-12-12;CHF 2’246.32;10.3389/fmed.2025.1716369;false
University of Bern;2025-03-05;CHF 2’246.32;10.3389/fcvm.2025.1547161;false
University of Bern;2025-05-08;CHF 2’246.32;10.3389/fspas.2025.1585247;false
University of Bern;2025-10-09;CHF 2’246.32;10.3389/fvets.2025.1646781;false
University of Bern;2025-03-10;CHF 2’246.32;10.3389/fped.2025.1568891;false
University of Bern;2025-10-21;CHF 2’246.32;10.3389/fimmu.2025.1639553;false
University of Bern;2025-03-18;CHF 2’246.32;10.3389/falgy.2025.1568669;false
University of Bern;2025-10-23;CHF 1’572.42;10.3389/fped.2025.1704163;false
University of Bern;2025-11-06;CHF 2’246.32;10.3389/fsoc.2025.1660806;false
University of Bern;2025-06-02;CHF 2’246.32;10.3389/fdgth.2025.1435917;false
University of Bern;2025-10-28;CHF 2’246.32;10.3389/fsurg.2025.1702151;false
University of Bern;2025-10-27;CHF 2’246.32;10.3389/fvets.2025.1603592;false
University of Bern;2025-05-30;CHF 2’246.32;10.3389/fsoc.2025.1570326;false
University of Bern;2025-05-30;CHF 2’246.32;10.3389/fvets.2025.1562404;false
University of Bern;2025-08-20;CHF 2’343.61;10.3389/ijph.2025.1608274;false
